Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Chicago Bulls,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,.255,.205,.523,.490,13.2,32.6,.184,.450,12.8,74.3,.175,United Center,731326,22161
San Antonio Spurs,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,.261,.257,.562,.528,12.8,25.1,.195,.489,12.9,76.0,.168,AT&T Center,607095,18397
Oklahoma City Thunder,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,.334,.252,.567,.516,15.3,27.8,.269,.465,13.0,72.1,.207,Chesapeake Energy Arena,600699,18203
Miami Heat,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,.307,.198,.549,.505,14.5,26.6,.238,.479,15.8,73.9,.200,AmericanAirlines Arena,657855,19935
Philadelphia 76ers,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,.217,.175,.511,.480,10.9,24.4,.161,.460,13.5,75.2,.192,Wells Fargo Center,577597,17503
Denver Nuggets,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,.326,.243,.556,.516,14.1,27.7,.239,.508,14.3,74.3,.185,Pepsi Center,561966,17029
Los Angeles Clippers,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,.287,.269,.533,.502,12.7,29.5,.195,.492,14.2,73.2,.245,STAPLES Center,634237,19219
Atlanta Hawks,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,.259,.249,.535,.500,13.4,23.9,.192,.480,14.4,74.4,.186,Philips Arena,501593,15200
Indiana Pacers,26.3,42,24,41,25,3.30,-0.71,2.60,106.7,103.1,3.6,90.7,.321,.198,.526,.474,13.1,29.2,.251,.476,14.1,72.3,.222,Bankers Life Fieldhouse,467561,14169
Memphis Grizzlies,25.6,41,25,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,.277,.157,.515,.473,13.6,29.8,.211,.485,16.3,72.7,.227,FedEx Forum,518446,15710
New York Knicks,26.3,36,30,41,25,3.20,-0.81,2.39,104.4,101.0,3.4,93.2,.306,.288,.533,.492,14.9,26.6,.227,.485,15.9,73.7,.224,Madison Square Garden (IV),652179,19763
Boston Celtics,29.3,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,.257,.194,.535,.496,14.7,19.7,.200,.452,14.9,72.4,.216,TD Garden,614592,18624
Los Angeles Lakers,29.7,41,25,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,.299,.209,.534,.491,14.2,29.1,.226,.476,10.7,74.8,.158,STAPLES Center,626901,18997
Dallas Mavericks,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,.246,.271,.527,.489,13.4,23.4,.190,.479,13.9,74.8,.203,American Airlines Center,671050,20335
Utah Jazz,25.6,36,30,34,32,0.62,0.30,0.92,106.8,106.1,0.7,91.4,.302,.153,.525,.481,13.0,30.2,.227,.493,13.8,73.8,.245,EnergySolutions Arena,637124,19307
Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,.235,.240,.529,.492,13.5,27.5,.184,.490,13.8,73.4,.210,Toyota Center,506994,15363
Orlando Magic,27.5,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,.292,.346,.533,.506,14.5,26.5,.193,.488,12.9,75.5,.190,Amway Center,623587,18897
Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,.257,.238,.536,.499,13.3,25.8,.194,.491,13.1,71.7,.200,US Airways Center,514718,15598
Portland Trail Blazers,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,.263,.255,.531,.488,13.4,26.3,.209,.504,14.1,72.8,.199,Rose Garden Arena,676384,20496
Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.50,-0.23,105.5,105.2,0.3,93.7,.250,.224,.521,.481,12.9,27.7,.194,.489,14.6,70.9,.217,Bradley Center,485717,14719
Minnesota Timberwolves,24.4,26,40,28,38,-2.20,0.37,-1.83,104.3,106.6,-2.3,93.3,.306,.262,.524,.477,14.0,27.5,.236,.491,12.2,73.0,.187,Target Center,577197,17491
Golden State Warriors,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,.227,.248,.539,.505,13.3,22.9,.175,.496,13.6,69.1,.237,Oracle Arena,622311,18858
New Orleans Hornets,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,.274,.152,.517,.476,15.2,27.5,.207,.485,13.5,73.1,.218,New Orleans Arena,498618,15110
Toronto Raptors,25.7,23,43,25,41,-3.30,-0.36,-3.67,100.8,104.5,-3.7,89.3,.274,.209,.518,.475,14.8,25.9,.211,.475,12.8,75.4,.260,Air Canada Centre,555584,16836
Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,.268,.228,.510,.472,13.0,29.1,.197,.515,13.9,70.5,.199,Power Balance Pavilion,478764,14508
Washington Wizards,24.2,20,46,22,44,-4.80,-0.34,-5.14,101.0,106.2,-5.2,92.5,.253,.196,.508,.472,14.2,27.3,.184,.492,14.2,70.9,.229,Verizon Center,552038,16728
Detroit Pistons,26.3,25,41,22,44,-4.79,-0.40,-5.19,101.0,106.3,-5.3,89.2,.279,.175,.510,.468,15.0,28.1,.210,.500,14.2,72.8,.226,The Palace of Auburn Hills,475638,14413
New Jersey Nets,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,.269,.278,.516,.473,14.3,27.8,.209,.513,13.7,70.7,.209,Prudential Center,460719,13961
Cleveland Cavaliers,26.0,21,45,17,49,-7.20,-0.14,-7.34,101.1,108.9,-7.8,91.3,.307,.238,.505,.463,14.3,28.9,.220,.508,13.1,72.2,.202,Quicken Loans Arena,525577,15927
Charlotte Bobcats,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,.276,.169,.483,.439,13.9,23.6,.206,.512,12.8,70.9,.206,Time Warner Cable Arena,486984,14757
