Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kobe Bryant,29,LAL,82.0,1100.0,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208
Chris Paul,22,NOH,28.0,894.0,1260,0.710,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284
Kevin Garnett,31,BOS,15.0,670.0,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265
LeBron James,23,CLE,1.0,438.0,1260,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,.484,.315,.712,15.2,.242
Dwight Howard,22,ORL,0.0,60.0,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200
Amar'e Stoudemire,25,PHO,0.0,27.0,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,.590,.161,.805,14.6,.262
Tim Duncan,31,SAS,0.0,25.0,1260,0.020,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201
Tracy McGrady,28,HOU,0.0,19.0,1260,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,.419,.292,.684,5.8,.115
Steve Nash,33,PHO,0.0,18.0,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,.504,.470,.906,10.5,.181
Manu Ginobili,30,SAS,0.0,9.0,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232
Dirk Nowitzki,29,DAL,0.0,5.0,1260,0.004,77,36.0,23.6,8.6,3.5,0.7,0.9,.479,.359,.879,12.9,.223
Deron Williams,23,UTA,0.0,4.0,1260,0.003,82,37.3,18.8,3.0,10.5,1.1,0.3,.507,.395,.803,11.3,.177
Carmelo Anthony,23,DEN,0.0,3.0,1260,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,.492,.354,.786,8.2,.140
Carlos Boozer,26,UTA,0.0,1.0,1260,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,.547,.000,.738,10.2,.173
Antawn Jamison,31,WAS,0.0,1.0,1260,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,.436,.339,.760,9.2,.144
Paul Pierce,30,BOS,0.0,1.0,1260,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,.464,.392,.843,12.4,.207
Rasheed Wallace,33,DET,0.0,1.0,1260,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155
