Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
LeBron James,25,CLE,116.0,1205.0,1230,0.980,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299
Kevin Durant,21,OKC,4.0,609.0,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238
Kobe Bryant,31,LAL,0.0,599.0,1230,0.487,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160
Dwight Howard,24,ORL,3.0,478.0,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223
Dwyane Wade,28,MIA,0.0,119.0,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224
Carmelo Anthony,25,DEN,0.0,65.0,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,.458,.316,.830,7.9,.145
Dirk Nowitzki,31,DAL,0.0,55.0,1230,0.045,81,37.5,25.0,7.7,2.7,0.9,1.0,.481,.421,.915,12.3,.194
Steve Nash,35,PHO,0.0,49.0,1230,0.040,81,32.8,16.5,3.3,11.0,0.5,0.1,.507,.426,.938,9.9,.178
Deron Williams,25,UTA,0.0,7.0,1230,0.006,76,36.9,18.7,4.0,10.5,1.3,0.2,.469,.371,.801,10.3,.177
Amar'e Stoudemire,27,PHO,0.0,5.0,1230,0.004,82,34.6,23.1,8.9,1.0,0.6,1.0,.557,.167,.771,10.7,.181
Manu Ginobili,32,SAS,0.0,3.0,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216
Chauncey Billups,33,DEN,0.0,1.0,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,.418,.386,.910,9.5,.182
Chris Bosh,25,TOR,0.0,1.0,1230,0.001,70,36.1,24.0,10.8,2.4,0.6,1.0,.518,.364,.797,9.6,.182
Stephen Jackson,31,TOT,0.0,1.0,1230,0.001,81,38.6,20.6,5.0,3.7,1.6,0.5,.423,.328,.779,5.0,.077
Joe Johnson,28,ATL,0.0,1.0,1230,0.001,76,38.0,21.3,4.6,4.9,1.1,0.1,.458,.369,.818,8.4,.140
