Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Carmelo Anthony,DEN,28:59,13,22,1,4,0,1,4,6,10,2,0,0,2,0,27,.591,.250,.000
Dirk Nowitzki,DAL,27:43,8,15,0,1,6,6,0,4,4,2,1,0,2,2,22,.533,.000,1.000
Steve Nash,PHO,19:59,2,4,0,0,0,0,1,0,1,13,0,0,2,0,4,.500,,
Amar'e Stoudemire,PHO,19:57,5,10,0,0,2,2,3,7,10,0,1,0,2,0,12,.500,,1.000
Tim Duncan,SAS,13:07,1,4,0,0,1,2,1,3,4,0,2,0,3,1,3,.250,,.500
Deron Williams,UTA,28:01,6,11,2,4,0,0,0,3,3,6,4,1,5,4,14,.545,.500,
Chauncey Billups,DEN,25:44,6,11,5,8,0,0,0,0,0,5,1,0,2,1,17,.545,.625,
Pau Gasol,LAL,20:18,5,9,0,0,3,3,2,4,6,0,1,0,0,3,13,.556,,1.000
Kevin Durant,OKC,20:17,7,14,1,3,0,0,1,4,5,0,0,0,2,0,15,.500,.333,
Zach Randolph,MEM,19:01,4,10,0,0,0,0,3,3,6,2,2,0,1,2,8,.400,,
Chris Kaman,LAC,10:43,2,4,0,0,0,0,2,1,3,1,0,0,1,0,4,.500,,
Jason Kidd,DAL,6:11,0,1,0,1,0,0,0,2,2,1,1,0,1,0,0,.000,.000,
LeBron James,CLE,32:28,10,22,1,6,4,4,1,4,5,6,4,0,2,1,25,.455,.167,1.000
Dwyane Wade,MIA,31:20,12,16,0,1,4,6,3,3,6,11,5,0,3,4,28,.750,.000,.667
Dwight Howard,ORL,27:24,7,10,1,2,2,3,0,5,5,1,0,3,1,4,17,.700,.500,.667
Joe Johnson,ATL,17:50,4,8,2,5,0,0,0,1,1,1,2,0,0,0,10,.500,.400,
Kevin Garnett,BOS,12:43,2,4,0,0,0,0,0,3,3,2,0,1,2,0,4,.500,,
Chris Bosh,TOR,29:08,9,16,0,0,5,7,2,8,10,1,2,0,3,0,23,.563,,.714
Rajon Rondo,BOS,19:49,2,3,0,0,0,0,1,0,1,5,1,0,2,1,4,.667,,
Gerald Wallace,CHA,15:32,1,3,0,0,0,0,0,3,3,1,0,0,0,0,2,.333,,
Derrick Rose,CHI,15:25,4,8,0,0,0,0,0,0,0,4,3,0,1,0,8,.500,,
Al Horford,ATL,14:19,4,5,0,0,0,1,0,4,4,2,1,1,0,1,8,.800,,.000
David Lee,NYK,12:26,2,3,0,0,0,0,0,2,2,1,0,0,3,1,4,.667,,
Paul Pierce,BOS,11:36,3,6,2,3,0,0,0,0,0,0,1,0,1,0,8,.500,.667,
Kobe Bryant,LAL,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Allen Iverson,MEM,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chris Paul,NOH,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brandon Roy,POR,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
