Player,Age,Tm,First,PtsWon,PtsMax,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kevin Garnett,27,MIN,120.0,1219.0,1230,0.991,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272
Tim Duncan,27,SAS,0.0,716.0,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249
Jermaine O'Neal,25,IND,2.0,523.0,1230,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,.434,.111,.757,9.0,.155
Peja Stojakovic,26,SAC,1.0,281.0,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,.480,.433,.927,13.5,.198
Kobe Bryant,25,LAL,0.0,212.0,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210
Shaquille O'Neal,31,LAL,0.0,178.0,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192
Ben Wallace,29,DET,0.0,24.0,1230,0.020,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160
Jason Kidd,30,NJN,0.0,17.0,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,.384,.321,.827,7.2,.141
LeBron James,19,CLE,0.0,11.0,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078
Sam Cassell,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,.488,.398,.873,12.1,.205
Baron Davis,24,NOH,0.0,4.0,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,.395,.321,.673,7.5,.133
Dirk Nowitzki,25,DAL,0.0,4.0,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,.462,.341,.877,11.5,.190
Andrei Kirilenko,22,UTA,0.0,2.0,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192
Carmelo Anthony,19,DEN,0.0,1.0,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098
Yao Ming,23,HOU,0.0,1.0,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202
Michael Redd,24,MIL,0.0,1.0,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154
