Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FT/FGA,Arena,Att,Att/G
Oklahoma City Thunder,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,.338,.244,.580,.527,14.4,26.7,.280,.469,13.5,73.4,.197,Chesapeake Energy Arena,746323,18203
Miami Heat,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,.297,.285,.588,.552,13.7,22.2,.224,.487,14.8,73.0,.200,AmericanAirlines Arena,819290,19964
San Antonio Spurs,28.6,58,24,58,24,6.40,0.27,6.67,108.3,101.6,94.2,.258,.264,.568,.531,14.0,20.5,.204,.480,13.7,74.9,.179,AT&T Center,755700,18461
Los Angeles Clippers,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,.286,.265,.557,.526,13.9,28.8,.203,.492,15.4,73.5,.229,STAPLES Center,788293,19235
Denver Nuggets,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193,Pepsi Center,730616,17911
Memphis Grizzlies,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,88.4,.261,.166,.514,.472,13.3,31.0,.202,.475,15.2,74.3,.209,FedEx Forum,681613,16843
New York Knicks,30.2,54,28,53,29,4.23,-0.50,3.73,111.1,106.3,89.8,.258,.354,.550,.515,11.7,25.6,.196,.508,14.8,74.7,.216,Madison Square Garden (IV),780353,19033
Houston Rockets,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,96.1,.308,.349,.564,.525,14.9,26.4,.232,.502,13.5,75.2,.196,Toyota Center,683564,16776
Indiana Pacers,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,90.2,.293,.245,.521,.479,14.3,30.3,.219,.453,12.9,74.6,.197,Bankers Life Fieldhouse,626069,15791
Los Angeles Lakers,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,94.4,.345,.303,.548,.512,13.9,27.0,.239,.496,11.9,74.3,.163,STAPLES Center,778877,18997
Golden State Warriors,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211,Oracle Arena,794320,19402
Brooklyn Nets,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174,Barclays Center,704702,17236
Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.30,106.7,106.8,90.9,.281,.206,.533,.492,13.8,28.8,.214,.501,14.0,73.2,.226,EnergySolutions Arena,763915,18632
Chicago Bulls,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,.259,.189,.512,.470,13.6,29.4,.201,.477,13.2,73.6,.206,United Center,896944,21888
Atlanta Hawks,27.1,44,38,42,40,0.40,-0.48,-0.08,104.8,104.4,92.6,.244,.286,.546,.517,14.2,22.2,.174,.496,14.2,73.6,.181,Philips Arena,620146,15338
Dallas Mavericks,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,94.1,.242,.236,.544,.506,13.0,21.8,.192,.492,13.3,73.1,.227,American Airlines Center,821490,20036
Boston Celtics,29.1,41,40,40,41,-0.22,-0.40,-0.62,103.1,103.3,91.7,.263,.215,.542,.503,14.1,20.1,.204,.482,14.2,73.3,.216,TD Garden,744960,18624
Milwaukee Bucks,26.4,38,44,37,45,-1.50,-0.33,-1.83,103.6,105.2,94.7,.236,.232,.510,.476,12.7,27.9,.174,.492,14.4,71.3,.201,BMO Harris Bradley Center,616469,15194
Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,.305,.220,.516,.473,13.8,27.4,.226,.511,15.0,74.0,.187,Target Center,669956,16340
Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,90.4,.274,.249,.532,.488,13.0,25.5,.216,.500,13.6,73.4,.247,Air Canada Centre,743936,18145
Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,.250,.284,.536,.498,13.9,25.3,.194,.512,12.5,73.3,.189,Rose Garden Arena,813012,19830
Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,92.2,.261,.223,.512,.475,14.2,24.6,.191,.483,13.7,74.6,.206,Verizon Center,670070,16343
New Orleans Hornets,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,.248,.224,.528,.489,14.0,29.2,.193,.520,13.1,74.4,.208,New Orleans Arena,565930,13803
Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,.200,.209,.509,.481,12.5,24.9,.146,.495,13.7,73.4,.200,Wells Fargo Center,685412,16717
Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,.271,.243,.532,.491,13.4,26.6,.208,.517,13.6,71.0,.227,Sleep Train Arena,563743,13750
Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,90.8,.282,.217,.521,.487,14.3,28.3,.197,.505,13.1,73.0,.209,The Palace of Auburn Hills,606094,14685
Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,.265,.229,.514,.473,13.0,28.1,.200,.523,14.4,72.6,.225,Quicken Loans Arena,663882,16192
Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,.234,.210,.512,.477,14.3,27.0,.174,.512,14.2,71.9,.208,US Airways Center,632913,15437
Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,.197,.223,.514,.485,13.7,25.4,.149,.508,11.8,74.6,.195,Amway Center,722716,17627
Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,.310,.210,.507,.460,13.2,25.7,.233,.524,13.2,71.1,.197,Time Warner Cable Arena,628293,15324
