Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Durant,OKC,30:00,11,23,4,11,8,8,0,3,3,2,2,2,0,3,34,.478,.364,1.000
Kobe Bryant,LAL,29:21,14,26,2,7,7,8,10,4,14,3,3,0,4,2,37,.538,.286,.875
Chris Paul,NOH,28:32,3,7,2,3,2,2,1,3,4,7,5,0,3,3,10,.429,.667,1.000
Carmelo Anthony,DEN,22:44,4,10,0,1,0,0,3,4,7,2,1,1,2,3,8,.400,.000,
Tim Duncan,SAS,11:40,1,4,0,0,0,0,1,2,3,2,2,0,0,0,2,.250,,
Pau Gasol,LAL,24:22,8,13,0,1,1,2,6,1,7,2,0,2,1,3,17,.615,.000,.500
Manu Ginobili,SAS,20:43,2,7,0,3,3,4,1,2,3,5,3,0,2,3,7,.286,.000,.750
Deron Williams,UTA,17:53,2,7,1,3,0,0,0,1,1,7,1,1,2,0,5,.286,.333,
Blake Griffin,LAC,14:39,4,6,0,0,0,0,2,3,5,5,0,0,0,0,8,.667,,
Dirk Nowitzki,DAL,14:14,3,8,0,1,0,0,0,5,5,1,1,1,0,0,6,.375,.000,
Russell Westbrook,OKC,14:08,6,12,0,1,0,2,3,2,5,2,0,0,0,1,12,.500,.000,.000
Kevin Love,MIN,11:44,1,3,0,0,0,0,0,4,4,1,0,0,1,0,2,.333,,
LeBron James,MIA,32:20,10,18,0,3,9,10,2,10,12,10,0,0,4,3,29,.556,.000,.900
Derrick Rose,CHI,29:57,5,13,0,1,1,2,1,2,3,5,1,0,1,0,11,.385,.000,.500
Amar'e Stoudemire,NYK,28:04,11,20,1,2,6,6,3,3,6,2,0,1,1,0,29,.550,.500,1.000
Dwight Howard,ORL,21:17,2,4,0,2,1,2,2,5,7,1,1,0,2,4,5,.500,.000,.500
Dwyane Wade,MIA,20:16,6,9,0,1,2,2,1,3,4,2,1,0,4,2,14,.667,.000,1.000
Chris Bosh,MIA,20:56,7,10,0,1,0,1,2,3,5,2,0,1,3,0,14,.700,.000,.000
Rajon Rondo,BOS,20:34,3,5,0,0,0,0,2,0,2,8,0,0,2,0,6,.600,,
Joe Johnson,ATL,20:26,4,11,3,9,0,1,1,1,2,2,3,0,0,1,11,.364,.333,.000
Ray Allen,BOS,17:09,4,9,2,7,2,2,1,3,4,2,0,0,1,2,12,.444,.286,1.000
Paul Pierce,BOS,11:12,2,6,1,3,1,2,0,1,1,2,0,0,3,0,6,.333,.333,.500
Al Horford,ATL,10:20,1,3,0,0,0,0,1,2,3,0,0,1,0,2,2,.333,,
Kevin Garnett,BOS,7:32,2,3,0,0,0,0,0,5,5,2,0,1,0,0,4,.667,,
Yao Ming,HOU,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
