Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
James Harden,HOU,27:04,5,19,2,13,0,0,1,6,7,8,1,1,3,1,12,.263,.154,
DeMar DeRozan,TOR,26:46,7,13,1,3,6,7,2,4,6,2,2,0,2,1,21,.538,.333,.857
Stephen Curry,GSW,26:35,4,14,3,11,0,0,2,4,6,5,1,0,6,0,11,.286,.273,
Giannis Antetokounmpo,MIL,26:34,6,14,0,2,4,6,4,3,7,2,0,0,2,2,16,.429,.000,.667
Joel Embiid,PHI,20:05,8,13,2,4,1,1,3,5,8,1,1,2,0,3,19,.615,.500,1.000
Kyle Lowry,TOR,21:26,2,11,0,8,0,0,2,5,7,11,3,0,1,1,4,.182,.000,
Klay Thompson,GSW,21:25,5,11,5,10,0,0,1,3,4,0,0,0,1,0,15,.455,.500,
Damian Lillard,POR,20:56,9,14,3,8,0,0,2,1,3,2,0,0,1,0,21,.643,.375,
Draymond Green,GSW,18:14,0,0,0,0,3,4,3,2,5,2,1,2,0,0,3,,,.750
Karl-Anthony Towns,MIN,18:11,7,11,1,4,2,2,4,6,10,0,0,0,1,0,17,.636,.250,1.000
Al Horford,BOS,12:46,2,4,0,2,2,2,0,5,5,2,1,0,0,0,6,.500,.000,1.000
Jimmy Butler,MIN,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
LeBron James,CLE,31:17,12,17,4,8,1,1,0,10,10,8,1,0,5,2,29,.706,.500,1.000
Kevin Durant,GSW,29:57,7,13,3,8,2,2,1,5,6,5,3,1,2,3,19,.538,.375,1.000
Russell Westbrook,OKC,28:28,4,11,1,6,2,3,3,5,8,8,0,0,2,2,11,.364,.167,.667
Kyrie Irving,BOS,27:36,6,16,1,5,0,0,2,5,7,9,1,0,1,2,13,.375,.200,
Anthony Davis,NOP,16:40,6,9,0,1,0,0,1,1,2,1,0,0,1,2,12,.667,.000,
Paul George,OKC,26:30,6,15,4,10,0,0,1,4,5,4,1,0,0,2,16,.400,.400,
Andre Drummond,DET,17:36,7,7,0,0,0,0,1,2,3,0,0,1,1,2,14,1.000,,
Bradley Beal,WAS,16:51,5,10,4,8,0,0,0,0,0,0,1,0,1,1,14,.500,.500,
Victor Oladipo,IND,15:00,3,8,1,6,0,0,0,2,2,3,3,0,0,0,7,.375,.167,
Kemba Walker,CHO,14:09,5,10,1,5,0,0,1,1,2,1,0,0,0,0,11,.500,.200,
Goran Dragic,MIA,11:28,1,3,0,1,0,0,0,4,4,1,0,0,1,2,2,.333,.000,
LaMarcus Aldridge,SAS,4:28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,,
John Wall,WAS,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kristaps Porzingis,NYK,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DeMarcus Cousins,NOP,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kevin Love,CLE,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
